,accuracy,count,logloss
+pts_knn_prediction_0.5,0.5291660219712208,6463.0,0.696945301321468
+pts_knn_prediction_0.51,0.5350909090909091,5500.0,0.6976179144723429
+pts_knn_prediction_0.52,0.5386712940009916,4034.0,0.6990730277940673
+pts_knn_prediction_0.53,0.5594170403587444,2676.0,0.7013995860093535
+pts_knn_prediction_0.54,0.5658709106984969,2262.0,0.7030661243750747
+pts_knn_prediction_0.55,0.5705705705705706,1998.0,0.7037661799049879
+pts_knn_prediction_0.56,0.5901189387008234,1093.0,0.7073404956930126
+pts_knn_prediction_0.57,0.6057529610829103,591.0,0.7195325847991885
+pts_knn_prediction_0.58,0.6043737574552683,503.0,0.7287800412045631
+pts_knn_prediction_0.59,0.6078886310904872,431.0,0.7385304808029365
+pts_knn_prediction_0.6,0.6129032258064516,372.0,0.7453710949099506
+pts_lightgbc_prediction_0.5,0.6252249550089982,6668.0,0.6932771780803421
+pts_lightgbc_prediction_0.51,0.6856815578465063,4365.0,0.6932010895204992
+pts_lightgbc_prediction_0.52,0.7361055577768892,2501.0,0.6923808864401
+pts_lightgbc_prediction_0.53,0.7705882352941177,1360.0,0.6896236387229014
+pts_lightgbc_prediction_0.54,0.8018134715025906,772.0,0.6862396037349173
+pts_lightgbc_prediction_0.55,0.8129032258064516,465.0,0.6850632750763198
+pts_lightgbc_prediction_0.56,0.8159722222222222,288.0,0.6812709509011289
+pts_lightgbc_prediction_0.57,0.8502673796791443,187.0,0.6766321213063196
+pts_lightgbc_prediction_0.58,0.8709677419354839,124.0,0.6681531889220492
+pts_lightgbc_prediction_0.59,0.8850574712643678,87.0,0.6741001301933475
+pts_lightgbc_prediction_0.6,0.9322033898305084,59.0,0.6882446508597092
+pts_lightgbc_prediction_0.61,0.8974358974358975,39.0,0.6956085997444188
+pts_lightgbc_prediction_0.62,0.9230769230769231,26.0,0.7453625375665595
+pts_lightgbc_prediction_0.63,0.9047619047619048,21.0,0.7126918291181491
+pts_lightgbc_prediction_0.64,0.9411764705882353,17.0,0.7402006511678577
+pts_lightgbc_prediction_0.65,1.0,10.0,0.8306020617273642
+pts_lightgbc_prediction_0.66,1.0,8.0,0.8509025524020144
+pts_lightgbc_prediction_0.67,1.0,3.0,0.8980791670275904
+pts_lightgbc_prediction_0.68,1.0,3.0,0.8980791670275904
+pts_linsvc_prediction_0.5,0.5108868826340945,3766.0,0.6931276470315588
+pts_linsvc_prediction_0.51,0.5064615384615384,1625.0,0.6935964217169293
+pts_linsvc_prediction_0.52,0.5380434782608695,184.0,0.6901523905644094
+pts_linsvc_prediction_0.53,0.6666666666666666,12.0,0.674328039921026
+pts_log_prediction_0.5,0.510497900419916,6668.0,0.693130541297558
+pts_log_prediction_0.51,0.5218966084952256,3037.0,0.6928447822082812
+pts_log_prediction_0.52,0.5374868004223865,947.0,0.6906775838162231
+pts_log_prediction_0.53,0.5330188679245284,212.0,0.6880643466618981
+pts_log_prediction_0.54,0.5510204081632653,49.0,0.6958246979856587
+pts_log_prediction_0.55,0.625,8.0,0.6708474403439939
accuracy_voter_prediction_0.5,0.5851829634073186,6668.0,0.6929282118910768
accuracy_voter_prediction_0.51,0.6625450798557445,1941.0,0.6913396150624742
accuracy_voter_prediction_0.52,0.7530864197530864,324.0,0.6788463538532369
accuracy_voter_prediction_0.53,0.7375,80.0,0.6652018471107508
accuracy_voter_prediction_0.54,0.8333333333333334,12.0,0.6347081820487134
combined_voter_prediction_0.5,0.5788842231553689,6668.0,0.6929640915075891
combined_voter_prediction_0.51,0.6554156171284635,1985.0,0.691630454288297
combined_voter_prediction_0.52,0.7461300309597523,323.0,0.6814713953556158
combined_voter_prediction_0.53,0.7464788732394366,71.0,0.6633484155600644
combined_voter_prediction_0.54,0.9,10.0,0.6246834973521513
loss_voter_prediction_0.5,0.5725854829034193,6668.0,0.6930018457319895
loss_voter_prediction_0.51,0.6440844378988709,2037.0,0.6918410912281071
loss_voter_prediction_0.52,0.7264437689969605,329.0,0.6824933745962932
loss_voter_prediction_0.53,0.75,64.0,0.6639137509736939
raw_keras_prediction_0.5,0.5095980803839232,6668.0,0.6935404238418131
raw_keras_prediction_0.51,0.5167464114832536,3762.0,0.6936951584548788
raw_keras_prediction_0.52,0.5285714285714286,1610.0,0.6931949592470726
raw_keras_prediction_0.53,0.5275310834813499,563.0,0.6950868156556608
raw_keras_prediction_0.54,0.4852941176470588,136.0,0.7090950793963825
raw_keras_prediction_0.55,0.5652173913043478,23.0,0.6927608787566522
raw_lightgbc_prediction_0.5,0.5092981403719257,6668.0,0.6932123990303134
raw_lightgbc_prediction_0.51,0.5073924731182796,1488.0,0.6927391472720104
raw_lightgbc_prediction_0.52,0.49473684210526314,190.0,0.6868287886562628
raw_lightgbc_prediction_0.53,0.5454545454545454,55.0,0.6847357324226611
raw_lightgbc_prediction_0.54,0.5714285714285714,21.0,0.6826819845149583
raw_lightgbc_prediction_0.55,0.5,4.0,0.6979997227113508
raw_log_prediction_0.5,0.5005998800239952,6668.0,0.6934030341589601
raw_log_prediction_0.51,0.5007978723404255,3760.0,0.6934140052086653
raw_log_prediction_0.52,0.49849397590361444,664.0,0.6938289128359986
raw_log_prediction_0.53,0.4375,128.0,0.6955683701296967
