idx,raw_log_prediction,raw_log_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_knn_prediction,+pts_knn_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Alabama,1,0.504929183279678,0,0.5034229838094515,1,0.5266683208818403,0,0.5033379862888467,1,0.5,1,0.5252525252525253,0,0.5057142674922943,1,0.5055090671510556,1,0.5057333546590709,1,0.5056212108287252
2017-11-10Arizona,0,0.5203363338519319,1,0.5033398748112261,1,0.5584250433377344,1,0.5112399411169675,1,0.5102000170078443,0,0.5202020202020202,1,0.5041308999061584,1,0.5109005337922852,1,0.5081806687338568,1,0.5095406011899308
2017-11-10Ark_Pine_Bl,1,0.5290094088131106,0,0.5181253134650072,1,0.5349392679415933,1,0.5170820360718096,1,0.5097958408801107,0,0.5252525252525253,1,0.5297144055366516,1,0.5116493840313534,1,0.5123271196867168,1,0.5119882517847535
2017-11-10Arkansas,0,0.5177869240917272,1,0.5108762688678916,1,0.5311152048448827,1,0.5119529202865852,1,0.5060894398225935,0,0.5202020202020202,1,0.5052999258041382,1,0.5075756602386152,1,0.5051587930394421,1,0.5063672265653842
2017-11-10Arkansas_St,1,0.502807876919482,0,0.5104670210823828,1,0.5118738415929199,0,0.5102682563432397,1,0.5,0,0.5656565656565656,0,0.5097644329071045,0,0.5080571425713953,0,0.5092716420832855,0,0.5086643922486745
2017-11-10Austin_Peay,1,0.5052620388890973,0,0.5088507170280181,0,0.5058591063449808,0,0.5083872697676974,1,0.5,0,0.5050505050505051,0,0.5051831007003784,0,0.5047615154985752,0,0.5040261195387697,0,0.5043938174432405
2017-11-10Ball_State,1,0.5043408514455581,0,0.5025181636362916,1,0.5050064174935243,0,0.5148360449036116,0,0.5054628141178563,1,0.5252525252525253,0,0.5040732324123383,0,0.5005020598194949,1,0.5001601988647542,0,0.5001709304537242
2017-11-10Belmont,1,0.5103228837232906,0,0.5084283709526316,0,0.5131898842403834,1,0.5072019564854617,1,0.5103958651961128,0,0.5101010101010099,1,0.5069471597671509,0,0.5005818947050239,1,0.5006322154661854,1,0.5000251603059911
2017-11-10Bowling_Grn,1,0.5141058613321773,0,0.5062571625561298,0,0.5011944758218745,1,0.5118058361600883,1,0.5130101909113829,0,0.5656565656565656,1,0.5001605749130249,0,0.5020049556120756,0,0.502430585096418,0,0.5022177702763564
2017-11-10CS_Fullerton,1,0.5019174479298798,0,0.5002699221854485,0,0.5016230824627512,0,0.5181311936634836,0,0.5062865705240657,0,0.6010101010101011,0,0.5145460069179535,0,0.5139827768514631,0,0.5164298928240876,0,0.5152063347578071
