,accuracy,count,logloss
+pts_log_prediction_0.7,0.7934838378655721,3898.0,0.9712674562174551
+pts_log_prediction_0.71,0.7999465097619685,3739.0,0.977856252573014
+pts_log_prediction_0.72,0.8068118369625907,3582.0,0.9810578429572386
+pts_log_prediction_0.73,0.8123723373212722,3427.0,0.9879192348653433
+pts_log_prediction_0.74,0.8211107701749003,3259.0,0.9945563701760786
+pts_log_prediction_0.75,0.8271164450210834,3083.0,1.0049275106352706
+pts_log_prediction_0.76,0.8341845420497106,2937.0,1.0136638331616992
+pts_log_prediction_0.77,0.8396700143472023,2788.0,1.021759623086564
+pts_log_prediction_0.78,0.8425256751616584,2629.0,1.0271837052499924
+pts_log_prediction_0.79,0.850040749796251,2454.0,1.034100501422332
+pts_log_prediction_0.8,0.8573292735972162,2299.0,1.0352836432194525
+pts_log_prediction_0.81,0.8635305076851421,2147.0,1.0463031426117222
+pts_log_prediction_0.8200000000000001,0.8715,2000.0,1.0563289208018847
+pts_log_prediction_0.8300000000000001,0.8791621911922664,1862.0,1.065320456283161
+pts_log_prediction_0.8400000000000001,0.8868832731648616,1662.0,1.077115193604243
+pts_log_prediction_0.8500000000000001,0.8936170212765957,1504.0,1.0913673203827128
+pts_log_prediction_0.8600000000000001,0.9002998500749625,1334.0,1.0986090927541068
+pts_log_prediction_0.8700000000000001,0.90848026868178,1191.0,1.1150019974639616
+pts_log_prediction_0.8800000000000001,0.9193857965451055,1042.0,1.1263710525510031
+pts_log_prediction_0.8899999999999999,0.9255555555555556,900.0,1.1057225873680119
accuracy_voter_prediction_0.7,0.8273150844496214,3434.0,0.9389596884708313
accuracy_voter_prediction_0.71,0.8353012412957918,3303.0,0.9425586038565653
accuracy_voter_prediction_0.72,0.840851334180432,3148.0,0.9511190539486634
accuracy_voter_prediction_0.73,0.8500673854447439,2968.0,0.9569582525539068
accuracy_voter_prediction_0.74,0.8592406876790831,2792.0,0.965340680026144
accuracy_voter_prediction_0.75,0.865546218487395,2618.0,0.9751542034531288
accuracy_voter_prediction_0.76,0.8719412724306689,2452.0,0.9918328413160893
accuracy_voter_prediction_0.77,0.8755458515283843,2290.0,1.0033288199577872
accuracy_voter_prediction_0.78,0.8817456593148757,2131.0,1.012054453192663
accuracy_voter_prediction_0.79,0.8853695324283559,1989.0,1.0181638030227087
accuracy_voter_prediction_0.8,0.8919652551574375,1842.0,1.0243928868643826
accuracy_voter_prediction_0.81,0.8988697204045211,1681.0,1.0317267029985964
accuracy_voter_prediction_0.8200000000000001,0.9056356487549148,1526.0,1.0340638166776863
accuracy_voter_prediction_0.8300000000000001,0.9122552574329225,1379.0,1.0586939218676577
accuracy_voter_prediction_0.8400000000000001,0.9206611570247933,1210.0,1.0593490577238145
