idx,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,raw_linsvc_prediction,raw_linsvc_confidence,raw_knn_prediction,raw_knn_confidence,+pts_log_prediction,+pts_log_confidence,raw_keras_prediction,raw_keras_confidence,accuracy_voter_prediction,accuracy_voter_confidence,loss_voter_prediction,loss_voter_confidence,combined_voter_prediction,combined_voter_confidence
2017-11-10Alabama,1,0.5107655530970219,0,0.5129357198884154,0,0.5424662822575954,0,0.5542168674698795,0,0.5434613826601344,0,0.5099181234836578,0,0.5199465392058725,0,0.5239934957082127,0,0.5219700174068844
2017-11-10Arizona,1,0.9384851515004222,1,0.9222716903112818,1,0.9238223255408028,1,0.9216867469879518,1,0.9466933317509646,1,0.8985686302185059,1,0.9287692323782455,1,0.929383691221966,1,0.9290764617059245
2017-11-10Arizona_St,1,0.8736734872948105,1,0.8631242930006894,1,0.8618129215909891,1,0.8192771084337349,1,0.9106530482886828,1,0.8553305268287659,1,0.8644650523744518,1,0.8638689042774883,1,0.8641669782366883
2017-11-10Ark_Pine_Bl,0,0.6075626216949177,0,0.6217783666372121,0,0.6328165530983626,0,0.6807228915662651,0,0.7302113018295521,0,0.6455117464065552,0,0.6326114466567035,0,0.6424824728184431,0,0.6375469596712365
2017-11-10Arkansas,1,0.8286621456855231,1,0.8228562915277091,1,0.8232040580714198,1,0.7650602409638554,1,0.8913647611655839,1,0.8220238089561462,1,0.8231975720297877,1,0.8229583136593932,1,0.8230779427586066
2017-11-10Arkansas_St,0,0.6695326726002989,0,0.6253733553713918,0,0.6431845787847287,0,0.6566265060240963,0,0.7704481546234768,0,0.6468424499034882,0,0.654526757194896,0,0.6620832837458143,0,0.6583050203992468
2017-11-10Austin_Peay,0,0.8812197388585006,0,0.8454212120810171,0,0.8428051040545925,0,0.8072289156626506,0,0.8797616674715711,0,0.8532302677631378,0,0.8534724741883146,0,0.851604866330311,0,0.8525386701711329
2017-11-10Ball_State,0,0.8491123893139907,0,0.7747538908123637,0,0.7827119887950432,0,0.8072289156626506,0,0.7503234577924794,0,0.798566535115242,0,0.8001258563031053,0,0.7977121667148969,0,0.7989190114294272
2017-11-10Belmont,0,0.6074886732905415,0,0.5486760260479293,0,0.5480304975284942,1,0.5120481927710844,1,0.5086407253668941,0,0.5578175485134125,0,0.5564635056863181,0,0.5471368484700567,0,0.5518001770232127
2017-11-10Bowling_Grn,0,0.5512441971860029,0,0.5351228008912239,0,0.5529279591275591,0,0.5240963855421686,0,0.5758224968252101,0,0.5442773103713989,0,0.5460786852693457,0,0.546237004749773,0,0.5461578449540962
2017-11-10CS_Fullerton,0,0.8709451029336643,0,0.8130336225782757,0,0.8122213723466896,0,0.8493975903614458,0,0.8383652335257749,0,0.8270511329174042,0,0.8344793819832002,0,0.8360433589142751,0,0.8352613703632317
2017-11-10Cal_Poly,0,0.8181703100360572,0,0.7967157463622351,0,0.7966475526775454,0,0.8253012048192772,0,0.8771869850821197,0,0.8129854798316956,0,0.8103009914314131,0,0.8157531800321169,0,0.8130270856469937
2017-11-10California,1,0.8883005025217987,1,0.8707838489077603,1,0.8713427424310508,1,0.8554216867469879,1,0.8816676487451747,1,0.8587902188301086,1,0.8752015709986369,1,0.874103199885382,1,0.874652385353539
2017-11-10Central_FL,1,0.7788493251423056,1,0.7649961953009279,1,0.7713189159538293,1,0.7409638554216867,1,0.7026970496767632,1,0.7698875665664673,1,0.7648630326838892,1,0.759088371883344,1,0.7619757022098554
2017-11-10Chattanooga,0,0.7188453885962596,0,0.7236489095676735,0,0.742369404257336,0,0.6686746987951807,0,0.8019385225070654,0,0.750030517578125,0,0.7268602538442109,0,0.7269875486453019,0,0.7269239011696533
2017-11-10Clemson,1,0.8851339827818536,1,0.8959423262414759,1,0.8948568684846541,1,0.9096385542168676,1,0.8806698389433928,1,0.8805080652236938,1,0.8929076130374224,1,0.8934209972453404,1,0.893164305053037
2017-11-10Col_Charlestn,1,0.6485337750221112,1,0.670116824955432,1,0.6718866770026409,1,0.6746987951807228,1,0.7147396298552239,1,0.6983227133750916,1,0.6673971269136452,1,0.6708986504474278,1,0.6691478886124613
2017-11-10Colorado,1,0.8495671151206112,1,0.8561063467075317,1,0.8630729649726566,1,0.8072289156626506,1,0.8958975511276327,1,0.8509600758552551,1,0.8538735763596286,1,0.8528393218895994,1,0.8533564490376893
2017-11-10Colorado_St,1,0.8335307384163643,1,0.8124870460358758,1,0.8152456398535259,1,0.7831325301204819,1,0.8341762023174513,1,0.8139034509658813,1,0.8178518033726104,1,0.816209306190475,1,0.8170305546982954
2017-11-10Columbia,0,0.9056872309391636,0,0.904413251078902,0,0.9104381364133844,0,0.8614457831325302,0,0.9211702895434428,0,0.8943692818284035,0,0.9033916761326,0,0.9012172569059085,0,0.9023044664282127
2017-11-10Cornell,0,0.8554933574401167,0,0.8280143547418384,0,0.8237409381992088,0,0.8433734939759037,0,0.8283725057969156,0,0.8408469408750534,0,0.8362503013569312,0,0.83639048877341,0,0.8363203949807637
2017-11-10Creighton,1,0.8112887969191648,1,0.7782584910953898,1,0.7845811182066679,1,0.7469879518072289,1,0.8656024056998679,1,0.7906918525695801,1,0.7917400506244949,1,0.7929661281819688,1,0.7923530893197035
2017-11-10Dayton,1,0.8280067247665799,1,0.8100357577669909,1,0.8061084202932266,1,0.8253012048192772,1,0.8518082944113654,1,0.8183234333992004,1,0.8180254494101533,1,0.8207821339103424,1,0.8194037915760608
2017-11-10Delaware,0,0.8156570970708079,0,0.7891919537305729,0,0.7926819168673298,0,0.7831325301204819,0,0.7883756436625433,0,0.8064460307359695,0,0.7972072135423606,0,0.7956070377880365,0,0.7964071255851715
2017-11-10Detroit,0,0.7922962225682162,0,0.8334074277562321,0,0.8350053032194835,0,0.7590361445783133,0,0.8447743508475953,0,0.8352452665567398,0,0.8156120576223901,0,0.8129107537360873,0,0.8142614055974651
2017-11-10Drexel,1,0.6104859317785889,1,0.5823434458489493,1,0.5990204085880485,1,0.6325301204819277,1,0.5629725361817185,1,0.5948930978775024,1,0.5987178544880594,1,0.5991480569112448,1,0.5989329556418131
2017-11-10Duke,1,0.8786628398103792,1,0.8688385445210741,1,0.8630301307566642,1,0.8795180722891566,1,0.9229914545740621,1,0.8589637279510498,1,0.8742382762754908,1,0.8777666140771799,1,0.8760024450859623
2017-11-10E_Kentucky,0,0.7361565514770719,0,0.6882264449270581,0,0.6909160326127269,0,0.6566265060240963,0,0.7417639949238787,0,0.7194570004940033,0,0.7030068812947166,0,0.7019352944491639,0,0.7024710877981787
2017-11-10E_Tenn_St,0,0.6093205320313436,0,0.5281636334415636,0,0.5451972586286984,0,0.572289156626506,0,0.6159484184166671,0,0.5273291766643524,0,0.5656785306883435,0,0.5695408708214036,0,0.5676097006944618
2017-11-10Elon,0,0.8612169234131112,0,0.8288576697907293,0,0.8280503008344592,0,0.8072289156626506,0,0.8758627653881407,0,0.8392065763473511,0,0.838714320923273,0,0.8386760609526323,0,0.8386951908510583
2017-11-10Evansville,1,0.6733792255917419,1,0.6586247455672984,1,0.6784668842024107,1,0.6927710843373494,1,0.6935127015025085,1,0.6773902773857117,1,0.6736624325363384,1,0.6764086107019408,1,0.6750355215517871
2017-11-10Fla_Atlantic,1,0.5255555655660399,1,0.5597506664743933,1,0.5538214403242362,1,0.5240963855421686,0,0.6680583241647889,1,0.5756881833076477,1,0.5315362996863374,1,0.5182803255610811,1,0.5249083125805378
2017-11-10Fordham,1,0.6876213903857709,1,0.6993132423132001,1,0.7014404289333237,1,0.7409638554216867,1,0.6757589568142733,1,0.7229989171028137,1,0.6990622762496039,1,0.7008406923940284,1,0.6999514842537535
2017-11-10GA_Southern,0,0.8125215773471552,0,0.8051602841337746,0,0.8208997922966392,0,0.7590361445783133,0,0.8646436397670549,0,0.8146602213382721,0,0.810799970116267,0,0.8101275758760154,0,0.8104637729130699
2017-11-10GA_Tech,0,0.8252084559140526,0,0.800610343895662,0,0.8131493042711472,0,0.7650602409638554,0,0.7828363240780858,0,0.8080879896879196,0,0.8068333091324136,0,0.8020814432520115,0,0.8044573761124373
2017-11-10Hawaii,1,0.6195149428534084,1,0.6607806318000176,1,0.6896101100978973,1,0.6927710843373494,0,0.540706876587568,1,0.6529848575592041,1,0.6480809423231046,1,0.6395008416268282,1,0.6437908919224675
2017-11-10IPFW,0,0.615704447829312,0,0.6686734778378447,0,0.6866458375680956,0,0.6807228915662651,0,0.5843824275464657,0,0.6969565749168396,0,0.6545385693490223,0,0.6519891316450259,0,0.6532638504379183
2017-11-10Idaho,0,0.8284881971818487,0,0.7849286330527585,0,0.7882316878814062,0,0.8253012048192772,0,0.8377510678024739,0,0.8025321811437607,0,0.8053454338516598,0,0.8090589627939506,0,0.8072021982396584
2017-11-10Idaho_State,0,0.842648174395598,0,0.8406970989700183,0,0.8462619553596421,0,0.8313253012048193,0,0.8535115805878113,0,0.8452136665582657,0,0.8426750698692993,0,0.8424628588918925,0,0.8425689642960662
2017-11-10Indiana,1,0.805969868968239,1,0.8241179719633582,1,0.8349553351637506,1,0.8253012048192772,1,0.8535339348969827,1,0.8180089592933655,1,0.8237041821236082,1,0.8256429106026454,1,0.8246735462806936
2017-11-10Indiana_St,0,0.8252152595425135,0,0.8121745963186109,0,0.8297403303184916,0,0.8554216867469879,0,0.8322756829122488,0,0.8275979906320572,0,0.8260760236694787,0,0.8287632530703736,0,0.82741963828793
2017-11-10Iowa_State,1,0.6534088060464535,1,0.6582396169599282,1,0.6427726480076752,1,0.608433734939759,1,0.6761473124586991,1,0.6875576376914978,1,0.6489020831642454,1,0.6474707489965433,1,0.6481864160131433
2017-11-10Kansas,1,0.9038740379232021,1,0.902668975197318,1,0.9037147978646056,1,0.8554216867469879,1,0.914967057656116,1,0.8829617500305176,1,0.8995806445469972,1,0.8970921401994773,1,0.8983363922823475
2017-11-10Kentucky,1,0.8834484378512358,1,0.8949305616966967,1,0.9082624349400672,1,0.8253012048192772,1,0.913253077522513,1,0.5641852021217346,1,0.8898279448885246,1,0.8861923570000787,1,0.8880101508551332
2017-11-10LA_Lafayette,0,0.6777332111415351,0,0.6832945294976459,0,0.6915180656504073,0,0.6445783132530121,0,0.7186476495752402,0,0.7115902602672577,0,0.6823911544316429,0,0.6816848202040267,0,0.682037987248427
2017-11-10LA_Monroe,0,0.8653818106645074,0,0.8286315388104326,0,0.8357086989757628,0,0.7650602409638554,0,0.8428906359709802,0,0.8388120830059052,0,0.8360902021712152,0,0.8310320599650859,0,0.8335611309830908
2017-11-10Lg_Beach_St,0,0.7284443922864927,0,0.6915018523002856,0,0.7045914360538916,0,0.6626506024096386,0,0.789353819104852,0,0.7293306887149811,0,0.708838188669464,0,0.7103674255234034,0,0.7096028070211983
2017-11-10Loyola-Chi,1,0.7233424115142887,1,0.681262698720993,1,0.6833824677699676,1,0.6807228915662651,1,0.6919937801786509,1,0.7049593925476074,1,0.6946127987139228,1,0.6934620057921508,1,0.694037402182376
